Project Name,Industry,Project Type,Description,Services Provided,Key Features,Frontend Tech,Backend Tech,URL,Origin
Light Brand Consulting,AI Business Transformation,Consulting / Landing site,Consulting service designing AI intelligence systems for businesses,AI Diagnostics; Business-Specific AI Engines; Founder Leverage Systems,AI Readiness Assessment; newsletter; testimonials; efficiency metrics,Next.js / React,Not specified,https://light-brand-consulting.vercel.app/,US
Iboga Life,Sacred Healing / Plant Medicine,Personal / Healing site,Site focused on sacred healing experiences with Iboga,Healing sessions / retreats,Practitioner bio; session info,Next.js / React,Not specified,https://iboga-life.vercel.app/,US
NeuroTracker X,Cognitive Enhancement / Wellness,Demo / Landing page,Platform for cognitive training to enhance human performance,Cognitive training subscriptions,Three demo editions: ELITE; CLINICAL; HUMAN,Next.js / React,Not specified,https://ntx8.vercel.app/,US
Light Field Institute,Biofield Research / Consciousness,Institute / Community site,Digital ecosystem bridging intuitive wisdom and consciousness education,Aura readings; energy sessions; courses,Session packages; weekly field notes; Practice/Education sections,Custom (likely React),Not specified,https://www.lightfield.institute/,US
Mindflow Vision,Technical / Vision Platform,Technical whitepaper site,Site presenting a technical whitepaper for Mindflow,Not explicitly listed,Whitepaper content,Next.js / React,Not specified,https://mindflow-vision.vercel.app/,CY
The Planetary Party,Regenerative Action / Bioregional,Community / Ecosystem site,Global web of bioregional networks for celebration and regenerative action,Protocols; tools; Flow Funds; guilds,Bioregional dashboards; Five-Phase Protocol; node exploration,Next.js / React,Not specified,https://planetary-party.vercel.app/,US
Love Token,Love Economy / Social Experiment,Circular Economy platform,World's first Love Economy experiment with meditation and intention,Guided meditations; subscriptions; credit redemption,Meditation tracking; credit circulation metrics; impact stories,Next.js / React,Not specified,https://love-token.vercel.app/,US
Lightwaves Energy,Renewable Energy,Renewable Energy Services,Solar calculator and energy optimization solutions,Not specified,Solar Calculator; Energy Optimization,Next.js / React,Not specified,https://lightwaves.energy,US
Downtown Park,Real Estate Development,Real Estate Platform,Premium urban development project with modern residential spaces,Brand identity; website development; 3D visualizations,Property listings; virtual tours; investment information,React/Custom CMS,Property management system,https://www.downtown-park.com/,EU
Skyzor Productions,Video Production / Media,Production Portfolio,Professional video production company for commercial content,Brand identity; portfolio website; video player integration,Video portfolio; client testimonials; production services,Video streaming integration,Client management system,https://www.skyzorproductions.com/,EU
AI Tools,Artificial Intelligence / SaaS,AI Platform,Comprehensive AI tools platform offering ML capabilities,Full-stack development; AI integration; API development,AI tool collection; API integrations; user dashboard,Next.js; React components,AI/ML APIs; Vercel deployment,https://aitools-theta.vercel.app/,US
Growth Mastery AI,Business Intelligence / AI,Business AI Platform,AI-powered business growth and analytics platform,AI platform development; data visualization,Growth analytics; AI recommendations; business insights,AI/ML frameworks,Dashboard development,https://growthmastery.ai/,US
Anemi Pool Reservation,Hotel Management / Reservations,Reservation System,Advanced pool and amenity reservation system for luxury hotels,Custom reservation system; hotel integration,Real-time reservations; availability calendar; guest management,Custom booking system,Hotel PMS integration,https://pool.anemihotel.com/,EU
Anemi Event Management,Event Management / Hospitality,Event Management Dashboard,Comprehensive event management dashboard for hotel operations,Event management platform; dashboard development,Event planning; resource management; booking coordination,Event management CMS,Booking integration,https://events.anemihotel.com/dashboard,EU
MelodyGram AI,Music Technology / AI,Music AI Platform,AI-powered music creation and analysis platform,Music AI development; audio processing; UI design,Music generation; audio analysis; creative tools,Audio processing libraries,AI music generation,https://melodygram.vercel.app/,US
MW Crypto Monitor,Cryptocurrency / FinTech,Crypto Dashboard,Real-time cryptocurrency monitoring and analytics dashboard,Financial dashboard; real-time data integration,Price monitoring; portfolio tracking; market analytics,React dashboard,Cryptocurrency APIs,https://mw-dash.vercel.app/,US
Genius AI,Artificial Intelligence / Education,AI Orchestration Platform,AI-powered learning and knowledge platform,AI development; educational tools; interactive learning,AI tutoring; knowledge base; interactive learning,AI/ML integration,Learning management,https://geniusai8.vercel.app/,US
Busy Bees IPC,Business Management / Productivity,Business Management / POS,Intelligent project coordination and management platform,Project management system; workflow automation,Project tracking; team coordination; automated workflows,Project management tools,Automation systems,https://busy-bees8.vercel.app,US
Piedra Lounge,Hospitality / Restaurant,Restaurant Website,Upscale lounge and dining with Mediterranean influences,Brand identity; website design; menu design,Menu display; reservation booking; event information,Restaurant CMS,Reservation integration,https://piedralounge.com/,EU
Baracas Lounge,Hospitality / Nightlife,Nightlife Venue,Premium nightlife venue and cocktail lounge,Brand development; website creation; promotional materials,Event calendar; photo galleries; VIP booking,Event management system,Social media integration,https://www.baracaslounge.com/,EU
Loft Club,Hospitality / Private Club,Private Club Platform,Exclusive private club and event venue,Brand identity; web development; membership portal,Membership portal; event bookings; exclusive content,Membership management,Secure login areas,https://loftclub.co/,EU
New Earth Development,Sustainable Development,Non-Profit Website,Sustainable development organization focused on conservation,Brand design; website development; content strategy,Project showcases; sustainability metrics; donation portal,CMS platform,Donation integration,https://newearthdevelopment.org,US
Boho Bones (NFT),Digital Art / Blockchain / NFT,NFT Collection,Unique NFT collection featuring artistic bone-themed digital artwork,Digital art creation; NFT development; blockchain integration,NFT marketplace listing; rarity system; community features,Blockchain (Ethereum),OpenSea integration,https://opensea.io/collection/bohobones,US
Auracle,AI / Predictive Analytics,Analytics Platform,AI-powered prediction and insights platform,Predictive analytics; data visualization; AI integration,Predictive insights; data analysis; forecasting tools,Machine learning models,Cloud deployment,https://auracle8.vercel.app/,US
Oracle Studios,Digital Agency / Creative Studio,Agency Website,Primary digital agency platform showcasing creative services,Complete brand identity; web development; digital strategy,Portfolio showcase; service offerings; client testimonials,React/Next.js,CMS integration,https://oraclestudios.io,EU
Vector Home Robot,Smart Home Technology / Robotics,Product Landing Page,Advanced home automation robot with AI capabilities,Product branding; landing page design; documentation,Product demonstrations; technical specs; pre-order system,Webflow,Product showcase system,https://vector-home-robot.webflow.io/,EU
Cyprus Swim Series,Sports Events / Swimming,Sports Event Platform,Premier swimming competition series in Cyprus,Event branding; website development; registration system,Event registration; results display; swimmer profiles,Event management system,Results tracking,https://cyprusswimseries.com/,EU
Cyprus Tours,Travel & Tourism,Tourism Platform,Comprehensive Cyprus tour and travel experience platform,Travel website development; booking system; tour management,Tour bookings; itinerary planning; customer reviews,Booking system,Tour management CMS,https://www.cyprustours.eu/,CY
Dermlux Clinics,Healthcare / Dermatology,Medical Website,Advanced dermatology clinic with cutting-edge treatments,Medical website development; appointment system,Treatment information; appointment booking; patient resources,Healthcare CMS,Patient management,https://www.dermluxclinic.com/,CY
Korakides Law,Legal Services,Legal Website,Professional law firm specializing in comprehensive legal services,Legal website development; case management; branding,Legal services showcase; client portal; consultation booking,Webflow,Client portal,https://epaminondas-korakides-llc.webflow.io/,EU
KK Hospitality,Hospitality Management,Corporate Website,Professional hospitality management and consulting services,Corporate website; service portfolio; client management,Service showcase; client testimonials; project portfolios,Webflow,Client portals,https://kk-hospitality.webflow.io/,EU
Sodap Cyprus,Manufacturing / Food Processing,Manufacturing Website,Leading food processing and manufacturing company in Cyprus,Corporate website redesign; product catalogs; B2B portal,Product catalogs; company information; B2B services,Industrial CMS,B2B integration,https://www.sodap.com.cy/,CY
Dr. Nutri,Healthcare / Nutrition,Healthcare Platform,Professional nutrition and dietary consultation platform,Healthcare platform; consultation booking; nutrition tools,Nutrition plans; consultation booking; health tracking,Healthcare systems,Nutrition databases,https://dr-nutri.com,EU
Pafos Zoo,Entertainment / Wildlife Tourism,Tourism Website,Premier wildlife park and conservation center in Cyprus,Tourism website; ticketing system; educational content,Animal exhibits; ticket booking; educational programs,Tourism CMS,Educational content management,https://www.pafoszoo.com/,EU
Cyprus Athletic Tourism,Sports Tourism / Travel,Sports Tourism Platform,Athletic tourism platform promoting Cyprus as sports destination,Tourism platform; destination marketing; booking systems,Destination guides; activity booking; athlete resources,Tourism CMS,Booking integration,https://www.cyprusathletictourism.com/,EU
The Palmiers,Hospitality (Luxury Apartments),Residential Accommodation,Luxury serviced apartments in Paphos for holidays,Not specified,Sea view apartments; pool view units; executive penthouses,React/Next.js,Not specified,https://www.thepalmiers.com/,EU
Waterside,Hospitality (Self-Catering),Accommodation Website,Stylish self-catering studios and apartments in Paphos,Self-catering accommodation; holiday bookings,Deluxe studios; suites; rooftop seating; sea views,React/Next.js,Not specified,https://www.waterside.cy/,EU
Silver Park,Hospitality (Accommodation),Boutique Residences,Spacious self-catering apartments in Paphos Harbour,Not specified,Contemporary apartments; pool area; lush greenery,React/Next.js,Not specified,https://www.silver-park.cy/,EU
Loft Centrale,Hospitality (Holiday),Holiday Apartments Website,Cozy cottage-style holiday apartments by Paphos Harbour,Not specified,Studios; suites; special offers; booking system,React/Next.js,Not specified,https://www.loft-centrale.cy/,EU
Averde,Events and Hospitality,Wedding and Events Venue,Private estate in Larnaca for weddings and milestone celebrations,Event planning; catering connections; carbon offsetting,Mediterranean gardens; glass ballroom; 10 rooms/suites,React/Next.js,Not specified,https://www.averde.cy/,EU
Mito Solar,Renewable Energy (Solar),Solar Energy Provider,Complete solar solutions for Cyprus homes and businesses,Solar installation; battery storage; EV charging; cleaning,High-efficiency panels; EV chargers; battery storage,React/Next.js,Not specified,https://www.mitosolar.cy/,EU
Linea,Not specified,Not specified,Project details not available,Not specified,Not specified,React/Next.js,Not specified,https://linea.strategioconsulting.com/,EU
SMS Reminder,Not specified,Not specified,Project details not available,Not specified,Not specified,React/Next.js,Not specified,https://sms-reminder-teal.vercel.app/,EU
EventPro,Hospitality (Boutique Hotels),Event Management Web App,Software solution for boutique hotels to automate event management,Not specified,Instant quotes; automated follow-ups; document generation,React/Next.js,Not specified,https://events.anemihotel.com/landing,EU
ELYST Business Consulting,Business / HR Consulting,Consulting Site,Consulting firm for HR and leadership development,HR Consulting; Training; Leadership Coaching,Proven expertise; human-centered approach; ANAD certified,React/Next.js,Not specified,https://elystconsultingcy.com/,EU
Nickoloui,Visual Arts and Film,Portfolio Website,Multi-disciplinary artist portfolio with visual aesthetics focus,Not specified,Filmography portfolio; software tools; contact info,React/Next.js,Not specified,https://www.nickoloui.com/,EU
Med Yachts,FILL IN ,FILL IN ,FILL IN ,FILL IN ,FILL IN ,FILL IN ,FILL IN ,https://medyachts.vercel.app/,EU